# hand postures data set - 4 features per finger for 5 fingers
27 -45.5556 -14.3103 29.6629 14.8315 -0.555555 21.9328 9.09091 4.54545 0.941176 35.3846 17.2043 8.60215 -2.82353 33.0469 22.8261 11.413 4.8 32.9814 50.6349 25.3175
28 -38.8889 -14.3103 31.6854 15.8427 1.11111 22.6891 12.1212 6.06061 0.705882 30.7692 16.129 8.06452 -2.11765 26.7188 18.4783 9.23913 4.8 28.5093 43.6508 21.8254
29 -38.8889 -16.7241 31.6854 15.8427 0.277778 31.0084 15.1515 7.57576 0.470588 34.6154 18.2796 9.13978 -1.41176 30.9375 19.5652 9.78261 6 31.8634 48.8889 24.4444
30 -38.8889 -19.1379 31.6854 15.8427 0.277778 30.2521 15.1515 7.57576 0.470588 33.8462 17.2043 8.60215 -1.41176 30.2344 19.5652 9.78261 6.6 31.3043 48.8889 24.4444
31 -43.3333 -20.3448 31.6854 15.8427 0 29.4958 15.1515 7.57576 0.470588 33.8462 17.2043 8.60215 -1.41176 29.5312 19.5652 9.78261 6.6 30.7453 48.8889 24.4444
32 -45.5556 -21.5517 31.6854 15.8427 0 26.4706 15.1515 7.57576 0.470588 37.6923 21.5054 10.7527 -1.41176 32.3438 25 12.5 6.6 34.0994 52.381 26.1905
33 -43.3333 -31.2069 31.6854 15.8427 6.11111 23.4454 8.08081 4.0404 1 62.3077 41.9355 20.9677 -3 61.1719 52.1739 26.087 9.6 52.5466 75.0794 37.5397
34 -34.4444 -38.4483 26.9663 13.4831 9.44444 25.7143 6.06061 3.0303 1.88235 75.3846 80.6452 40.3226 -5.64706 83.6719 86.9565 43.4783 8.4 75.4658 96.0317 48.0159
35 -34.4444 -42.069 23.5955 11.7978 10 28.7395 3.0303 1.51515 2.05882 80 91.3979 45.6989 -6.17647 88.5938 97.8261 48.913 8.4 82.7329 101.27 50.6349
36 -21.1111 -44.4828 21.573 10.7865 11.9444 30.2521 2.0202 1.0101 2.05882 80.7692 91.3979 45.6989 -6.17647 90 97.8261 48.913 9 83.8509 103.016 51.5079
37 -16.6667 -44.4828 22.9213 11.4607 11.9444 34.0336 2.0202 1.0101 2.29412 79.2308 81.7204 40.8602 -6.88235 87.8906 96.7391 48.3696 9 81.6149 103.016 51.5079
38 -27.7778 -32.4138 26.9663 13.4831 2.5 28.7395 6.06061 3.0303 1.23529 54.6154 32.2581 16.129 -3.70588 53.4375 47.8261 23.913 10.8 42.4845 66.3492 33.1746
39 -25.5556 -20.3448 27.6404 13.8202 3.33333 15.8824 7.07071 3.53535 1.05882 19.2308 12.9032 6.45161 -3.17647 14.7656 16.3043 8.15217 1.2 14.5342 27.9365 13.9683
40 -30 -16.7241 27.6404 13.8202 3.61111 13.6134 7.07071 3.53535 1.05882 11.5385 9.67742 4.83871 -3.17647 7.73438 11.9565 5.97826 1.2 10.0621 20.9524 10.4762
41 -30 -16.7241 27.6404 13.8202 3.88889 13.6134 7.07071 3.53535 1.05882 10.7692 8.60215 4.30108 -3.17647 7.73438 10.8696 5.43478 1.2 10.0621 20.9524 10.4762
42 -32.2222 -17.931 28.3146 14.1573 3.61111 15.126 7.07071 3.53535 1.05882 11.5385 8.60215 4.30108 -3.17647 9.84375 11.9565 5.97826 1.2 11.7391 22.6984 11.3492
43 -32.2222 -17.931 28.3146 14.1573 3.33333 15.126 8.08081 4.0404 1 13.0769 9.67742 4.83871 -3 11.25 13.0435 6.52174 1.8 13.4161 26.1905 13.0952
44 -27.7778 -17.931 29.6629 14.8315 1.94444 20.4202 11.1111 5.55556 0.941176 18.4615 13.9785 6.98925 -2.82353 16.1719 19.5652 9.78261 2.4 17.8882 33.1746 16.5873
